"feature";"frequency"
"while";57
"the";3477
"world";54
"two";100
"family";36
"members";11
"recently";10
"asked";21
"me";313
"if";233
"i";1364
"was";520
"still";86
"alive";7
"they";257
"follow";43
"this";426
"blog";31
"to";2177
"stay";24
"updated";3
"on";572
"my";500
"life";60
"and";1867
"apparently";10
"fact";21
"that";837
"haven't";14
"in";1079
"a";1772
"month";23
"leads";3
"concern";3
"about";224
"well";103
"being";74
"so";327
"is";922
"just";257
"quick";12
"update";6
"say";61
"yes";41
"i'm";179
"everything";25
"fine";11
"no";165
"died";10
"or";220
"off";82
"face";18
"of";1399
"earth";13
"i've";44
"been";130
"really";118
"busy";7
"initial";2
"ache";2
"pain";11
"has";184
"seemed";12
"slightly";5
"some";178
"days";32
"it";775
"very";98
"others";24
"it's";200
"quite";21
"transparent";2
"am";73
"beginning";6
"get";183
"grasp";4
"what";233
"living";18
"without";31
"her";182
"now";131
"we";357
"have";440
"moved";19
"past";18
"into";84
"upon";11
"new";138
"journey";6
"down";60
"different";27
"path";4
"always";53
"take";82
"rest";19
"along";21
"way";99
"close";19
"eyes";13
"try";37
"imagine";11
"how";133
"differently";4
"our";127
"would";155
"miss";16
"something";59
"never";73
"sure";46
"will";222
"grilled";4
"cheese";9
"loved";17
"polished";3
"ok";18
"lots";8
"spice";2
"medium";7
"body";18
"good";160
"nose";8
"little";72
"head";27
"fair";6
"but";378
"dry";11
"finish";9
"putting";12
"could";73
"be";410
"isn't";23
"fresh";7
"bottle";12
"improperly";3
"either";14
"doesn't";35
"seem";14
"right";83
"its";96
"not";328
"like";198
"bad";43
"matter";19
"you";781
"decided";12
"your";232
"degree";6
"online";17
"are";376
"going";109
"after";71
"person";26
"taught";2
"write";16
"properly";4
"able";19
"with";504
"any";93
"career";10
"parts";3
"area";22
"there";201
"also";89
"lot";42
"reason";14
"for";733
"does";39
"financial";14
"however";16
"surprised";5
"hear";23
"least";28
"favourite";2
"aspect";3
"compromise";3
"design";13
"painted";4
"square";5
"decision";10
"rather";19
"than";89
"usual";5
"small";18
"corner";6
"marks";3
"show";57
"pitch";4
"chose";6
"more";195
"obvious";5
"lines";4
"which";94
"were";149
"meant";5
"evoke";2
"had";166
"convinced";3
"taste";6
"ugly";7
"car";19
"park";9
"love";111
"leaves";7
"okay";17
"don't";127
"see";105
"as";367
"significant";4
"story";29
"look";67
"pretty";29
"gonna";15
"give";43
"up";234
"did";89
"first";96
"time";181
"impulse";3
"swing";2
"clearly";8
"several";24
"months";12
"beyond";12
"age";13
"range";4
"threw";5
"baby";23
"around";36
"sat";8
"champ";2
"started";30
"uncertain";2
"by";202
"end";42
"here's";12
"hubby";2
"coming";36
"from";294
"hospital";5
"yesterday";16
"finally";15
"why";82
"committed";3
"writing";17
"one";240
"music";29
"video";13
"part";39
"post";30
"come";68
"play";39
"song";17
"robert";6
"palmer";3
"might";44
"explain";7
"listen";8
"much";105
"because";96
"find";42
"simply";9
"irresistible";2
"motorola";2
"conflict";3
"outside";17
"us";90
"began";6
"microsoft";6
"move";20
"against";28
"prompted";3
"germany";2
"headquarters";3
"out";219
"german";6
"town";10
"where";83
"safer";2
"far";26
"faster";3
"then";103
"their";141
"american";21
"counter";2
"known";14
"ban";3
"sales";18
"distribution";2
"technology";4
"heart";21
"beat";17
"here";66
"beautiful";23
"creations";4
"team";41
"stop";33
"next";46
"thursday";14
"inspiration";9
"b";7
"remains";6
"longest";2
"run";25
"talk";29
"u.s";27
"television";7
"history";17
"daily";5
"walk";9
"other";124
"day";120
"girls";13
"nice";38
"warm";12
"walked";3
"noticed";5
"left";38
"plastic";7
"water";16
"front";8
"know";145
"most";89
"people";144
"stick";5
"bottles";4
"wondered";2
"drink";6
"hope";51
"ask";24
"especially";19
"when";215
"exposed";3
"heat";8
"release";6
"chemicals";2
"drinking";6
"these";56
"including";26
"bpa";2
"dangerous";6
"basically";6
"sound";6
"results";6
"profit";2
"man";44
"he";321
"gains";2
"whole";17
"his";201
"soul";7
"exchange";5
"though";51
"suffering";2
"christ";10
"cared";2
"honored";3
"click";3
"favorite";14
"picture";10
"book";34
"simple";8
"point";26
"hilarious";4
"worm";3
"an";191
"turning";2
"heroes";2
"aren't";8
"matching";2
"night";46
"away";35
"activists";3
"ideologically";2
"rigid";2
"parties";4
"lead";8
"struggle";5
"depending";2
"exact";5
"model";9
"can";195
"circumstances";3
"activist";2
"preferred";3
"let";30
"english";10
"instead";19
"league";8
"vs";7
"better";56
"served";5
"politics";2
"mentioned";3
"above";16
"lotion";3
"amount";8
"present";9
"rich";10
"creamy";4
"texture";4
"only";87
"drops";2
"enough";21
"gets";20
"quickly";6
"skin";7
"smooth";2
"feeling";20
"behind";23
"non";8
"guess";11
"product";11
"suitable";2
"mature";6
"works";9
"bath";3
"winter";7
"season";23
"all";270
"types";2
"feel";42
"work";73
"flight";5
"went";44
"hate";16
"flying";2
"combined";6
"led";10
"tears";2
"lord";4
"home";56
"safe";19
"plane";6
"landed";3
"ben";3
"looked";9
"at";374
"says";45
"cry";6
"he's";30
"lucky";8
"him";93
"vince";3
"hit";20
"wine";19
"true";25
"passion";3
"unfortunately";6
"even";96
"list";13
"yet";37
"do";195
"cabernet";2
"glass";3
"regular";11
"restaurants";5
"price";10
"house";44
"restaurant";8
"believe";30
"wines";2
"can't";72
"blame";13
"highlight";3
"rising";3
"costs";4
"products";3
"probably";27
"idea";23
"remember";18
"number";16
"big";49
"brewers";2
"pub";2
"companies";7
"certain";10
"stocking";2
"policy";11
"involves";2
"mainstream";2
"brands";2
"moment";8
"e";7
"books";23
"want";90
"suspect";6
"buying";2
"reporting";2
"back";116
"they've";2
"read";38
"done";29
"them";128
"bought";9
"paid";11
"couple";17
"mostly";4
"used";41
"thing";56
"stuff";18
"normally";3
"laptop";2
"last";71
"using";26
"kindle";2
"didn't";68
"make";113
"itself";9
"game";45
"soldiers";2
"improve";6
"before";64
"i'd";20
"think";97
"use";49
"making";32
"text";10
"eye";4
"caught";8
"things";64
"missed";9
"computer";12
"times";25
"desk";2
"knowing";3
"colleagues";2
"gave";7
"gift";8
"penhaligons";2
"turned";8
"easy";15
"choice";8
"aware";8
"many";71
"perfumes";2
"put";49
"visits";4
"smelling";3
"three";32
"approved";3
"guide";2
"already";34
"bertrand";2
"similar";8
"mind";22
"du";3
"anyway";10
"cast";8
"iron";2
"needs";19
"heated";2
"almost";26
"red";23
"wanted";25
"we'd";7
"need";75
"roof";2
"another";47
"plan";17
"fly";9
"sky";5
"google";9
"term";5
"muslim";2
"whites";2
"prepare";4
"shocked";2
"europe";8
"provided";7
"comment";11
"section";7
"dive";3
"great";91
"watching";21
"sparks";2
"keeps";9
"guessing";4
"until";24
"page";9
"terrible";4
"whom";8
"elizabeth";4
"herself";3
"men";8
"ending";5
"suspenseful";2
"tell";37
"garden";6
"replied";2
"hey";27
"got";78
"merry";2
"england";4
"during";29
"reign";3
"queen";3
"police";22
"state";46
"crime";4
"mass";6
"free";31
"having";37
"every";42
"together";28
"ideas";7
"said";254
"should";61
"over";81
"drunk";7
"driving";12
"wishing";2
"fantastic";3
"monday";14
"start";43
"week";40
"maybe";29
"andy";2
"murray";3
"father";9
"few";48
"years";40
"nameless";2
"mother";18
"figure";10
"spend";14
"kids";27
"experience";18
"promise";6
"tomorrow";21
"stuck";5
"fun";38
"grumpy";2
"scottish";4
"stubble";2
"wonders";2
"ourselves";9
"wasn't";20
"happening";10
"grief";2
"tragedy";4
"hatred";2
"goodness";4
"holds";4
"who";213
"die";3
"happiness";4
"we're";29
"throwing";3
"harbor";3
"catching";2
"wind";3
"explore";3
"dream";9
"discover";2
"truth";15
"comfy";3
"nursing";2
"bras";2
"ones";13
"oh";45
"once";29
"milk";4
"came";26
"ended";7
"too";106
"liked";10
"sports";8
"style";6
"words";21
"comes";26
"everyone";55
"tuesday";14
"again";48
"challenge";18
"since";30
"sponsored";2
"none";5
"valley";5
"anything";29
"goes";20
"option";7
"april";5
"class";21
"card";9
"you're";40
"forgot";4
"nerve";6
"pills";3
"old";26
"saying";28
"date";13
"version";3
"hold";14
"pill";2
"i'll";34
"mix";8
"go";100
"desert";4
"discuss";3
"neighbors";4
"swear";2
"italian";7
"opera";3
"weber";4
"incredibly";5
"character";5
"foundation";3
"loss";7
"therefore";3
"innocence";2
"collins";3
"creates";2
"care";27
"root";2
"wish";19
"protect";6
"throughout";9
"entire";8
"she";170
"hunger";6
"games";13
"hosted";2
"fighter";2
"sister";9
"makes";30
"fabulous";5
"shoes";10
"photo";11
"took";23
"display";5
"chicago";16
"year";62
"boots";2
"high";36
"site";14
"west";10
"em";10
"shit";13
"hard";32
"yourself";15
"seriously";11
"both";42
"wait";30
"cash";2
"although";10
"tonight";36
"daniel";6
"seeing";12
"christian";4
"bruised";3
"table";11
"match";9
"recommendations";2
"launched";3
"campaign";9
"june";5
"title";5
"metamorphose";2
"change";31
"constantly";5
"within";17
"irony";3
"towards";4
"closer";5
"perhaps";12
"live";22
"lives";14
"adding";9
"layers";3
"thick";2
"themselves";4
"believes";5
"trying";34
"dig";3
"deeper";3
"forgotten";6
"carter";5
"definitely";12
"type";7
"teacher";8
"school";59
"there's";32
"mac";3
"casual";5
"fling";2
"dealing";5
"screening";2
"mother's";5
"phone";14
"calls";4
"turn";15
"expect";11
"groups";5
"colorado";4
"branch";2
"union";9
"written";11
"support";23
"effort";7
"myself";22
"vehicle";4
"built";6
"sit";11
"beside";2
"driver";4
"four";28
"tiny";9
"seats";3
"facing";4
"each";34
"ahead";6
"via";7
"berlin";2
"full";26
"recording";2
"inspiring";2
"found";25
"reading";15
"news";22
"wrong";24
"human";9
"error";3
"promote";4
"cause";18
"sometimes";25
"crucial";4
"facts";2
"shocking";3
"fat";6
"pink";3
"succeed";4
"animals";3
"tight";7
"powerful";5
"concept";3
"album";5
"stumble";2
"studio";2
"nowhere";2
"sounds";15
"soundtrack";2
"grade";5
"horror";3
"movie";13
"cannot";13
"fail";3
"pay";11
"tribute";2
"presence";7
"barrett";2
"band's";2
"early";22
"waters";2
"obsessed";3
"subject";7
"perception";2
"contribution";2
"legend";4
"madness";2
"tune";5
"greater";9
"mystery";5
"existence";2
"universe";5
"understand";14
"labels";4
"perfectly";3
"format";2
"welcome";13
"download";3
"following";17
"link";5
"below";4
"cut";15
"individual";6
"cards";11
"smile";4
"sign";16
"peace";9
"treaty";2
"permission";2
"letter";7
"public";35
"beunka";2
"adams";3
"unit";3
"texas";5
"death";18
"row";3
"confessed";2
"involved";12
"robbery";2
"store";10
"employee";4
"shot";5
"killed";9
"calm";3
"ease";2
"else";23
"crazy";15
"moonwalking";2
"einstein";2
"participating";3
"championship";3
"fashion";8
"addresses";2
"interesting";14
"issues";13
"discussed";3
"posts";3
"advise";2
"learning";10
"content";7
"justice";3
"missing";8
"andrew";3
"g";3
"competing";3
"markets";3
"eventually";5
"impact";4
"premium";2
"line";21
"vet";3
"staff";6
"meet";18
"door";8
"arrived";7
"tubes";4
"thrilled";3
"walking";4
"lady";11
"awesome";18
"god";29
"mom";17
"dad";11
"pulled";4
"through";50
"job";39
"taking";16
"holes";3
"dried";2
"except";6
"draining";2
"collar";2
"group";24
"parent";4
"education";20
"made";58
"such";32
"difference";9
"saddened";2
"ale";4
"marxist";3
"positioned";2
"real";40
"appeal";8
"actual";4
"working";31
"opinion";2
"craft";4
"breweries";2
"recognize";3
"beer";13
"luxury";6
"wall";14
"market";17
"remain";6
"observations";3
"ish";2
"retain";2
"despite";10
"seemingly";2
"takes";15
"sex";7
"major";9
"problem";19
"wolves";2
"searched";2
"wouldn't";13
"hang";5
"female";4
"appeared";6
"radar";2
"hell";17
"they'd";5
"share";17
"watch";25
"noted";3
"key";13
"today";84
"special";8
"morning";47
"sd";2
"black";34
"hills";4
"grateful";4
"relationship";10
"blessings";3
"given";16
"celebration";3
"birthday";15
"lovely";12
"faces";5
"language";4
"may";46
"composition";4
"teaches";2
"mindset";2
"gives";11
"critical";2
"corruption";3
"nepotism";2
"country";20
"question";18
"deep";7
"leaders";10
"admitted";5
"government";17
"bank";8
"building";12
"narrow";2
"stepped";2
"halfway";3
"thank";55
"blessed";7
"ability";13
"communicate";4
"wonderful";11
"connection";5
"continue";9
"forget";12
"help";37
"learn";22
"lift";2
"jesus";8
"name";21
"amen";4
"flower";5
"stitched";2
"top";32
"added";13
"beads";2
"gold";6
"glitter";5
"circles";4
"dies";3
"keep";49
"suppose";4
"ink";3
"perseverance";2
"side";20
"creativity";3
"requires";6
"impossible";9
"accomplish";2
"important";18
"self";21
"discipline";5
"current";6
"child";14
"practices";3
"short";15
"trait";2
"best";73
"provide";16
"young";24
"tools";5
"episode";7
"fortune";3
"gang";3
"mansion";2
"complete";9
"green";13
"laughing";2
"pic";5
"island";5
"edge";3
"cliff";3
"realized";2
"foods";4
"sleep";22
"calendar";5
"filling";3
"goodbye";3
"sadness";3
"final";11
"countdown";3
"bearable";2
"birds";4
"dead";17
"sea";3
"those";66
"adults";4
"loves";11
"gay";6
"dark";11
"secret";6
"open";26
"loud";5
"shine";3
"light";18
"positive";8
"afraid";7
"terms";5
"stand";13
"god's";9
"children";13
"voice";10
"darkness";4
"someone";37
"wip";2
"ufo";2
"worked";12
"becomes";5
"untouched";2
"fairly";4
"long";48
"period";8
"length";3
"knitter";2
"totally";12
"shopping";11
"ran";5
"friend";16
"business";18
"same";60
"wishes";7
"friends";46
"defense";9
"needed";28
"lesson";5
"huh";4
"yay";6
"info";15
"homework";4
"research";13
"instance";3
"john";19
"adventure";3
"place";47
"region";4
"brother";11
"heard";16
"lost";11
"treasure";2
"tucson";3
"learned";11
"mining";2
"copper";2
"mine";10
"plethora";2
"become";15
"blocks";3
"encourage";2
"readers";11
"own";31
"conclusions";3
"test";10
"complaint";2
"lack";7
"recent";10
"half";25
"dance";8
"smells";5
"laundry";2
"decide";10
"wear";12
"wash";3
"beneath";2
"jones";5
"hides";2
"memories";4
"super";16
"vacation";4
"troops";2
"must";27
"leader";5
"jon";3
"jean";4
"hot";13
"pepper";3
"micro";2
"message";10
"decides";4
"deal";9
"kept";5
"order";2
"sense";15
"avoid";7
"hole";3
"sucked";3
"answer";7
"thought";38
"happened";10
"treated";3
"respect";6
"deserved";5
"toward";3
"mean";17
"won't";18
"forgive";3
"screw";2
"piece";14
"sort";13
"sprayed";2
"continued";5
"coats";3
"painters";2
"touch";14
"generous";3
"sponsor";2
"steve";10
"intent";2
"issue";9
"advertising";8
"approach";4
"irresponsible";2
"standard";4
"subtlety";2
"ol";5
"ideals";2
"beauty";7
"sensitivity";2
"fear";6
"bed";14
"huge";13
"wolf";3
"resting";2
"chest";3
"looking";32
"hi";14
"patrick";3
"large";16
"coffee";10
"cream";5
"sugar";7
"st";17
"abbey";3
"beers";4
"passing";2
"sweet";23
"couldn't";11
"alternative";2
"headed";5
"north";17
"salt";5
"lake";2
"wide";8
"streets";5
"perfect";9
"example";8
"street";8
"bike";3
"weather";6
"spectacular";4
"knee";4
"acknowledge";2
"dh";2
"brought";7
"boxes";2
"dot";2
"attempt";3
"easter";6
"photos";6
"pile";2
"trailer";4
"bit";34
"wild";4
"actually";26
"jokes";2
"film";14
"bat";3
"fan";13
"soft";3
"that's";65
"shirt";8
"dress";7
"bottom";7
"raw";6
"falling";2
"primary";3
"purchase";6
"popular";3
"amazon.com";3
"equally";3
"equal";4
"joseph";6
"nail";2
"millions";5
"statistic";2
"deals";4
"girl";21
"fiction";7
"breathing";2
"seven";8
"late";14
"longer";13
"anticipated";3
"shower";4
"ready";17
"ate";5
"second";27
"emotion";4
"amazing";25
"connect";5
"crying";6
"saw";16
"theatre";3
"project";21
"cameron";2
"invited";2
"famous";8
"movies";5
"ever";34
"city";46
"superb";2
"played";16
"onto";6
"owned";2
"asset";3
"sale";4
"brothers";4
"trivial";3
"pursuit";2
"dialogue";2
"ad";8
"hearts";5
"opened";6
"professional";2
"aging";2
"parents";13
"common";9
"aunts";2
"growing";9
"near";8
"grown";9
"sons";2
"lily";5
"daisy";2
"whose";11
"nature";6
"expression";2
"clear";13
"professionalism";2
"bring";12
"bright";3
"intelligence";4
"suddenly";4
"control";13
"dear";11
"spoke";4
"quiet";5
"matters";3
"careful";3
"genre";5
"account";8
"wise";5
"grandparents";2
"completely";5
"realistic";4
"interests";5
"relate";2
"worth";13
"willing";2
"lay";5
"bare";2
"express";4
"joy";4
"nurses";3
"accordingly";3
"nurse";6
"puerto";2
"named";5
"brings";4
"food";28
"polish";2
"amy";3
"mini";5
"fridge";2
"room";29
"variety";8
"sodas";2
"wendy";2
"likes";11
"visit";17
"she's";21
"particularly";7
"talking";16
"cousin";6
"runs";3
"therapy";4
"dog";9
"program";21
"guys";17
"comfort";3
"worse";9
"system";21
"task";5
"letting";2
"citizens";3
"available";17
"located";2
"transportation";4
"options";8
"hours";14
"operation";2
"services";12
"flax";2
"single";13
"stages";2
"anti";7
"blue";14
"soothing";2
"add";19
"boy";24
"star";11
"football";11
"hands";11
"nothing";34
"what's";19
"less";29
"fifteen";2
"percent";3
"student";8
"participate";3
"greek";8
"students";23
"capable";2
"they're";26
"arts";4
"rely";3
"source";5
"social";17
"campus";4
"colleges";2
"universities";2
"usually";10
"schools";10
"programs";10
"unless";7
"older";11
"watched";8
"necessarily";2
"college";10
"enter";6
"kinds";2
"woke";2
"saturday";14
"race";7
"supposed";9
"hour";7
"excited";10
"position";9
"upcoming";4
"documentary";3
"follows";4
"six";10
"dancers";2
"youth";4
"america";8
"grand";4
"prix";2
"prestigious";2
"ballet";2
"world's";4
"lifelong";2
"dreams";14
"hundreds";8
"handful";2
"scholarships";2
"contracts";2
"m";9
"animal";3
"ratchet";2
"sorely";2
"kudos";2
"speaking";3
"word";19
"rant";4
"teaching";6
"nd";2
"rules";8
"concerning";4
"prior";6
"seen";19
"characteristic";2
"dynamic";2
"qualities";2
"skyscraper";2
"due";6
"closely";6
"excess";4
"placed";3
"between";27
"floor";5
"environmentally";2
"construction";6
"power";17
"energy";13
"stamp";3
"ali";3
"edwards";2
"technique";2
"sleek";3
"belongs";2
"breaks";3
"money";28
"buy";15
"truly";12
"kindness";5
"inspired";6
"quote";7
"participant";2
"amazon";5
"llc";2
"eu";3
"associates";2
"programmes";2
"designed";5
"means";10
"sites";6
"earn";3
"fees";3
"linking";4
"amazon.ca";2
"amazon.co.uk";2
"amazon.de";2
"amazon.fr";2
"amazon.it";2
"amazon.es";2
"removal";2
"call";26
"camp";6
"whether";15
"passed";8
"bloody";4
"felt";11
"leave";13
"poor";9
"kid";14
"laugh";3
"winning";5
"pause";2
"earlier";12
"we've";17
"established";3
"awake";2
"needing";3
"oil";7
"basis";2
"foul";2
"nor";4
"playing";21
"sport";2
"bracelet";3
"event";9
"featured";3
"possible";13
"discomfort";2
"misleading";2
"draw";9
"likely";15
"suicide";4
"anyone";28
"china";5
"howard";5
"described";6
"lone";2
"trained";2
"shipped";2
"afghanistan";4
"military";6
"act";20
"civilians";2
"hidden";3
"practical";2
"science";5
"vast";3
"born";7
"separate";5
"classical";3
"practice";8
"promotion";2
"retailer";2
"contest";4
"buzz";3
"promo";2
"kit";3
"captain";6
"stories";12
"tom";10
"chess";3
"jake";2
"becoming";4
"nightly";2
"routine";2
"shall";7
"you'll";20
"produce";4
"white";28
"nights";5
"virtually";3
"explanation";4
"therapeutic";2
"forgetting";2
"clinic";4
"memento";3
"spent";7
"characters";6
"related";4
"fairy";3
"seems";11
"access";7
"fairies";2
"somehow";5
"magical";5
"resources";6
"trees";2
"seeds";5
"items";7
"shows";9
"third";18
"kind";19
"emma";4
"possibly";3
"snow";5
"wardrobe";6
"court";11
"patents";3
"citing";2
"examples";2
"arguments";5
"hopes";4
"mid";2
"argument";2
"honor";4
"stupid";6
"invention";2
"examined";2
"application";6
"proposed";2
"justices";2
"firstly";2
"depend";2
"grow";6
"handle";4
"responsibility";5
"regularly";2
"package";2
"adult";5
"absolute";2
"gems";2
"commenting";2
"conversation";4
"sane";2
"society";11
"low";14
"criminal";5
"welfare";3
"article";3
"nation's";3
"newspaper";2
"record";6
"honesty";3
"value";3
"net";4
"drain";3
"community";16
"random";5
"rookie";2
"stars";4
"smaller";5
"sets";2
"finished";9
"mike";6
"rid";2
"suggestions";5
"habit";6
"determine";5
"assumed";2
"owls";2
"allowed";6
"cultures";4
"serve";11
"teachers";8
"native";5
"offensive";4
"include";6
"resist";2
"address";4
"various";8
"aspects";2
"one's";7
